,0,1,2,3,4,5,6,7,8,9
143,2001,Toya,I Do,0.0,0.551499,0.0,0.5671390000000001,0.588597,0.0,0.0
144,2001,K-Ci,Crazy,0.0,0.0,0.0,0.0,0.54916,0.0,0.755488
145,2001,Ricky Martin,Nobody Wants To Be Lonely,0.0,0.509336,0.715334,0.729749,0.0,0.0,0.0
146,2001,Aerosmith,Jaded,0.0,0.0,0.5754739999999999,0.0,0.0,0.633371,0.0
147,2001,Missy 'Misdemeanor' Elliott,One Minute Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,2001,Sugar Ray,When It's Over,0.0,0.0,0.0,0.625848,0.0,0.95878,0.0
149,2001,Jay-Z,Izzo (Hova),0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,2001,Usher,U Got It Bad,0.0,0.0,0.0,0.658804,0.0,0.0,0.594917
151,2001,Enrique Iglesias,Hero,0.0,0.0,0.586501,0.644548,0.0,0.698414,0.0
152,2001,Dream,He Loves U Not,0.0,0.0,0.5651520000000001,0.0,0.0,0.0,0.0
153,2001,Faith Hill,There You'll Be,0.0,0.0,0.805912,0.0,0.0,0.927002,0.0
154,2001,Jennifer Lopez,Play,0.684873,0.0,0.605214,0.0,0.0,0.0,0.0
155,2001,S Club 7,Never Had A Dream Come True,0.0,0.0,0.0,0.0,0.795772,0.0,0.0
156,2001,Case,Missing You,0.0,0.0,0.0,0.643466,0.0,0.0,0.736358
157,2001,Ja Rule,Livin' It Up,0.642462,0.0,0.539737,0.0,0.0,0.5367810000000001,0.0
158,2001,Nickelback,How You Remind Me,0.0,0.0,0.598722,0.5384479999999999,0.0,0.0,0.0
159,2001,Alien Ant Farm,Smooth Criminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,2001,Michael Jackson,You Rock My World,0.0,0.0,0.60743,0.0,0.6982659999999999,0.0,0.0
161,2001,Jagged Edge,Promise,0.0,0.0,0.0,0.0,0.0,0.60752,0.0
162,2001,Mya,Case Of The Ex (Whatcha Gonna Do),0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,2001,Jessica Simpson,Irresistible,0.0,0.0,0.0,0.0,0.0,0.0,0.915789
164,2001,Sunshine Anderson,Heard It All Before,0.0,0.0,0.654705,0.596266,0.0,0.691959,0.0
165,2001,Creed,With Arms Wide Open,0.0,0.0,0.779978,0.0,0.0,0.0,0.660659
166,2001,Dave Matthews Band,The Space Between,0.0,0.0,0.0,0.6189060000000001,0.0,0.0,0.60927
167,2001,3LW,No More (Baby I'ma Do Right),0.5426270000000001,0.0,0.0,0.0,0.0,0.0,0.0
168,2001,Tamia,Stranger In My House,0.0,0.0,0.0,0.0,0.0,0.0,0.9807170000000001
169,2001,Lil' Bow Wow,Bow Wow (That's My Name),0.0,0.0,0.550804,0.0,0.0,0.0,0.0
170,2001,Mystikal,Danger (Been So Long),0.576443,0.6738609999999999,0.0,0.691833,0.0,0.0,0.589859
171,2001,Musiq Soulchild,Love,0.0,0.0,0.536948,0.0,0.562529,0.0,0.7710100000000001
172,2001,Aaliyah,Rock The Boat,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,2001,Three Doors Down,Be Like That,0.0,0.0,0.0,0.916667,0.0,0.0,0.9089729999999999
174,2001,Michelle Branch,Everywhere,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,2001,Brooks,Ain't Nothing 'Bout You,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,2001,Gorillaz,Clint Eastwood,0.0,0.0,0.6675939999999999,0.0,0.0,0.0,0.0
177,2001,Destiny's Child,Emotion,0.0,0.0,0.0,0.8192219999999999,0.0,0.0,0.0
178,2001,Lonestar,I'm Already There,0.0,0.0,0.62667,0.0,0.0,0.0,0.0
179,2001,Three Doors Down,Kryptonite,0.0,0.0,0.584601,0.0,0.0,0.0,0.550755
180,2001,Evan,Crazy For This Girl,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,2001,Blake Shelton,Austin,0.0,0.0,0.0,0.0,0.711359,0.0,0.0
182,2001,Bubba Sparxxx,Ugly,0.0,0.0,0.0,0.517523,0.0,0.0,0.0
183,2001,OutKast,"So Fresh, So Clean",0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,2001,Lil' Mo,Superwoman Pt. II,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,2001,Daft Punk,One More Time,0.0,0.0,0.741165,0.0,0.0,0.513071,0.0
186,2001,Erick Sermon,Music,0.5120359999999999,0.0,0.608938,0.0,0.0,0.0,0.9561569999999999
187,2001,Trick Daddy,I'm A Thug,0.501395,0.0,0.0,0.550847,0.0,0.0,0.0
188,2001,112,It's Over Now,0.0,0.0,0.0,0.580547,0.642754,0.0,0.853466
189,2001,The Isley Brothers,Contagious,0.65588,0.0,0.555038,0.5237970000000001,0.0,0.0,0.71572
190,2001,Petey Pablo,Raise Up,0.567709,0.0,0.0,0.0,0.0,0.0,0.0
191,2001,Ludacris,Southern Hospitality,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,2001,The Backstreet Boys,More Than That,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,2001,Guy Sebastian,Who's That Girl?,0.0,0.0,0.0,0.0,0.0,0.0,0.9435790000000001
194,2001,Tim McGraw,Grown Men Don't Cry,0.0,0.0,0.619896,0.53351,0.0,0.0,0.656558
195,2001,Willa Ford,I Wanna Be Bad,0.0,0.509879,0.0,0.525559,0.0,0.0,0.0
196,2001,Five for Fighting,Superman (It's Not Easy),0.0,0.0,0.0,0.0,0.0,0.0,0.84639
197,2001,"QB Finest, Nas",Oochie Wally,0.565616,0.0,0.0,0.0,0.0,0.0,0.583055
198,2001,Lil' Romeo,My Baby,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,2001,Jessica Andrews,Who I Am,0.0,0.0,0.0,0.5510229999999999,0.534767,0.0,0.0
200,2002,"P Diddy, Usher",I Need A Girl,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,2002,Nickelback,How You Remind Me,0.0,0.0,0.598722,0.5384479999999999,0.0,0.0,0.0
202,2002,Vanessa Carlton,A Thousand Miles,0.0,0.0,0.0,0.650369,0.8955360000000001,0.0,0.952443
203,2002,Ashanti,Foolish,0.0,0.0,0.0,0.811411,0.0,0.732995,0.0
204,2002,The Calling,Wherever You Will Go,0.0,0.0,0.0,0.0,0.570634,0.0,0.920133
205,2002,Nelly,Dilemma,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,2002,Avril Lavigne,Complicated,0.619483,0.0,0.611977,0.0,0.0,0.0,0.706094
207,2002,Nelly,Hot In Herre,0.0,0.0,0.530554,0.0,0.0,0.0,0.0
208,2002,Fat Joe ,What's Luv?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,2002,Puddle of Mudd,Blurry,0.0,0.0,0.0,0.803147,0.0,0.78927,0.0
210,2002,Linkin Park,In The End,0.0,0.0,0.0,0.7273850000000001,0.83267,0.0,0.0
211,2002,Jennifer Lopez,Ain't It Funny,0.0,0.0,0.0,0.554153,0.0,0.0,0.9290940000000001
212,2002,Eminem,Without Me,0.5316,0.0,0.0,0.589188,0.0,0.0,0.882899
213,2002,Ja Rule,Always On Time,0.90512,0.0,0.0,0.0,0.0,0.803227,0.0
214,2002,Jimmy Eat World,The Middle,0.0,0.0,0.739437,0.0,0.0,0.0,0.926747
215,2002,Shakira,"Whenever, Wherever",0.0,0.0,0.548022,0.0,0.0,0.0,0.698001
216,2002,Eve,Gangsta Lovin',0.0,0.0,0.0,0.0,0.0,0.0,0.521375
217,2002,Chad Kroeger,Hero,0.0,0.0,0.0,0.0,0.0,0.695004,0.0
218,2002,Usher,U Don't Have To Call,0.0,0.0,0.523216,0.0,0.0,0.0,0.0
219,2002,Creed,One Last Breath,0.0,0.0,0.0,0.562142,0.8807959999999999,0.0,0.870533
220,2002,Usher,U Got It Bad,0.0,0.0,0.0,0.658804,0.0,0.0,0.594917
221,2002,DJ Sammy,Heaven,0.0,0.0,0.721172,0.0,0.0,0.0,0.0
222,2002,Jennifer Lopez,I'm Gonna Be Alright,0.0,0.0,0.0,0.0,0.0,0.653461,0.0
